TEST_PARAM.comment:,18650

SourceMeter Model:,2450
SourceMeter S/N:,00000000
SourceMeter Firmware:,1.7.1e

TEST_PARAM.terminals:,FRONT TERMINALS

TEST_PARAM.initial_voc:,4.1914849281
TEST_PARAM.vcutoff:,3

TEST_PARAM.discharge_type:,CONSTANT
TEST_PARAM.discharge_current:,1
TEST_PARAM.max_discharge_current:,1

TEST_PARAM.measure_interval:,10

TEST_PARAM.discharge_start_time:,07/03/20 14:51:05
TEST_PARAM.discharge_stop_time:,07/03/20 16:59:55

BATT_MODEL_RAW:,Index,Timestamp,Voc,Vload,ESR
BATT_MODEL_RAW:,87,860.10310216,4.0122375488,3.824131012,0.18810653687
BATT_MODEL_RAW:,88,870.10353326,4.0107707977,3.8224773407,0.18829345703
BATT_MODEL_RAW:,89,880.1042103,4.0092277527,3.8204059601,0.1888217926
BATT_MODEL_RAW:,90,890.1049132,4.0075931549,3.8183097839,0.18928337097
BATT_MODEL_RAW:,91,900.10536854,4.0060634613,3.8167266846,0.18933677673
BATT_MODEL_RAW:,92,910.10577336,4.0045070648,3.8143558502,0.1901512146
BATT_MODEL_RAW:,93,920.10594378,4.0029888153,3.8127250671,0.19026374817
BATT_MODEL_RAW:,94,930.10671694,4.0014419556,3.810968399,0.19047355652
BATT_MODEL_RAW:,95,940.10749688,3.9999008179,3.8080291748,0.19187164307
BATT_MODEL_RAW:,96,950.10857836,3.9983634949,3.807434082,0.19092941284
BATT_MODEL_RAW:,97,960.10967274,3.9968776703,3.8045711517,0.19230651855
BATT_MODEL_RAW:,98,970.109892,3.9952888489,3.8034439087,0.19184494019
BATT_MODEL_RAW:,99,980.1100553,3.9937648773,3.8020019531,0.19176292419
BATT_MODEL_RAW:,100,990.11088666,3.9922351837,3.8001651764,0.19207000732
BATT_MODEL_RAW:,101,1000.1117395,3.9907302856,3.7987918854,0.19193840027
BATT_MODEL_RAW:,102,1010.1124241,3.9891777039,3.7963638306,0.19281387329
BATT_MODEL_RAW:,103,1020.1135547,3.9877262115,3.7955436707,0.19218254089
BATT_MODEL_RAW:,104,1030.1141527,3.98620224,3.7940273285,0.1921749115
BATT_MODEL_RAW:,105,1040.1151561,3.9846115112,3.7928466797,0.19176483154
BATT_MODEL_RAW:,106,1050.11618,3.9830970764,3.7920207977,0.19107627869
BATT_MODEL_RAW:,107,1060.1167876,3.9815921783,3.7915115356,0.1900806427
BATT_MODEL_RAW:,108,1070.1170712,3.9800548553,3.7903270721,0.1897277832
BATT_MODEL_RAW:,109,1080.1175484,3.9785480499,3.7892799377,0.18926811218
BATT_MODEL_RAW:,110,1090.1185612,3.977142334,3.788766861,0.18837547302
BATT_MODEL_RAW:,111,1100.1190314,3.9755172729,3.7872276306,0.18828964233
BATT_MODEL_RAW:,112,1110.1193551,3.9740009308,3.7857551575,0.18824577332
BATT_MODEL_RAW:,113,1120.1199989,3.9725952148,3.7842998505,0.18829536438
BATT_MODEL_RAW:,114,1130.1205544,3.9710845947,3.7828826904,0.1882019043
BATT_MODEL_RAW:,115,1140.1208792,3.9694786072,3.7810077667,0.18847084045
BATT_MODEL_RAW:,116,1150.1211314,3.9679832458,3.779542923,0.18844032288
BATT_MODEL_RAW:,117,1160.1214676,3.9664745331,3.7780456543,0.18842887878
BATT_MODEL_RAW:,118,1170.1216419,3.9649734497,3.7767448425,0.18822860718
BATT_MODEL_RAW:,119,1180.1220134,3.963476181,3.7755413055,0.18793487549
BATT_MODEL_RAW:,120,1190.1231267,3.9619827271,3.7740383148,0.18794441223
BATT_MODEL_RAW:,121,1200.1237663,3.960483551,3.772310257,0.18817329407
BATT_MODEL_RAW:,122,1210.1247695,3.959066391,3.770740509,0.18832588196
BATT_MODEL_RAW:,123,1220.1250217,3.9575119019,3.7692432404,0.1882686615
