	Instrument,	My 2450
	.Model,	2450
	.Serial Number,	00000000
	.Channel,	SMU-1
	..Source,	
	...Stepper,	Disabled
	...Operation,	Voltage Sweep 
	...Sweep Type,	Linear 
	...Dual Sweep,	Disabled 
	...Start,	0 V
	...Stop,	20 V
	...Step,	0.2 V
	...Points,	101 
	...Range,	Auto 
	...Limit,	1 A
	...Delay,	1 s
	...Asymptote,	N/A 
	...Repeat,	0 
	..Measure,	
	...Function,	
	....Current,	Enabled
	.....Range,	Auto 
	.....Low Range,	1 mA 
	....Voltage,	Measured
	....Resistance,	Disabled
	....Power,	Enabled
	....Speed,	
	.....NPLC,	1 
	.....Auto Zero,	On 
	..Advanced Configuration,	
	...Input Terminals,	Front 
	...Sense,	2-Wire 
	...Output Off,	Normal 
	...High Capacitance,	Off 

Index,SMU-1 Time (s),SMU-1 Voltage (V),SMU-1 Current (A),SMU-1 Power (W)
"67","71.8913506","13.19993019104","0.250340700149536","3.30447976594996"
"68","72.97521032","13.3999719619751","0.246788278222084","3.30695600872004"
"69","74.05907868","13.5999517440796","0.243367433547974","3.30978535233294"
"70","75.1429641","13.8003625869751","0.240018367767334","3.31234050272315"
"71","76.22681436","13.9998712539673","0.236798271536827","3.31514531467757"
"72","77.31068878","14.2000074386597","0.233652889728546","3.31787277220968"
"73","78.39455028","14.399974822998","0.230599656701088","3.32062925068766"
"74","79.47838804","14.6002779006958","0.227620214223862","3.32331838348429"
"75","80.56225134","14.8009090423584","0.224717706441879","3.32602633325365"
"76","81.6460996","15.0008773803711","0.221898034214973","3.32866520220421"
"77","82.72995474","15.2001667022705","0.219161674380302","3.33129398532932"
